D:\Train\testSampleNeg\neg1.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg10.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg100.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1000.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1001.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1002.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1003.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1004.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1005.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1006.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1007.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1008.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1009.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg101.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1010.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1011.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1012.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1013.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1014.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1015.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1016.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1017.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1018.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1019.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg102.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1020.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1021.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1022.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1023.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1024.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1025.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1026.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1027.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1028.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1029.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg103.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1030.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1031.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1032.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1033.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1034.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1035.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1036.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1037.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1038.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1039.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg104.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1040.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1041.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1042.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1043.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1044.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1045.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1046.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1047.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1048.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1049.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg105.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1050.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1051.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1052.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1053.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1054.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1055.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1056.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1057.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1058.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1059.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg106.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1060.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1061.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1062.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1063.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1064.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1065.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1066.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1067.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1068.jpg 1 0 0 64 64
D:\Train\testSampleNeg\neg1069.jpg 1 0 0 64 64
